源节点,目标节点,关系类型,关系描述
WLS,MQ,师徒,授身心性法·七级浮屠·言出法随（文化地图）
LGD,MQ,师徒,授科技验证·DNA46→72NDA解锁·辉光测量（实证工具）
QFLR,MQ,师徒,授命功筑基·四大手·以武入道（身体功法）
ZLS,MQ,引路,密勒日巴虹光传承·濒死体验·实修十二字
YG,MQ,道友,肉眼通前辈·天眼与肉眼通同路观测亚原子
MQ,CS,领导,团队领袖·委任材料攻关
MQ,XY,领导,团队领袖·量子物理与AHCS核心
MQ,WG,领导,团队领袖·电力与闭合磁路
MQ,LY,领导,团队领袖·政策与开放标准
MQ,AB,师徒,明锜指导阿丙·机械弟子·量天尺持有者·少时修道家气功入修仙路·得指导少走弯路·官二代私教底子
MQ,JC,夫妻,明锜元婴出关后(43岁)结发的妻子·天才中医医师·金丹炼金·归零钵·神仙伴侣·共证道果·无量寿
MQ,SJ,道友,数学路径↔天眼互证·230空间群与ANU
MQ,WH,同事,磁饱和SEG·卫衡加入团队
MQ,WL,同事,369同情振动·温灵加入团队
FZ,MQ,投资,方总组队·给钱给政策·三件事（电池/SEG/飞碟）
WH,FZ,自荐,卫衡电话方总·磁芯饱和建议
WL,FZ,自荐,温灵邮件方总·369共振腔发现
AB,JC,同修,阿丙为明锜弟子·静慈为明锜妻子·皆团队同修道友
YG,JC,师徒,元光大师指导静慈修至金丹初开（二果圆满）·曾受生死劫而淡泊名利
SJ,YG,互证,数学与灵视两条独立路径观测ANU·交汇不推导
WLS,LGD,互证,"科技把""言出法随""翻译成可测数据"
WLS,QFLR,互证,言与武同源·身心性法四大手对应
LGD,QFLR,互证,命功筑基↔科技固本·隔百年握手
WLS,ZLS,同源,言出法随↔密勒日巴实证·明锜由张忆起王
ANK,MQ,引导,昴宿二代表·频率导航·建交·揭示累世记忆
ANK,SJ,交流,苏晶解读昴宿频率图（不用光年用音阶）
