镜号	时间轴	景别	运镜	画面提示词	台词/旁白	音效/BGM	时长(秒)
1	0:00	大特写	固定→慢推	黑暗中，一枚金属滚筒开始缓缓旋转，滚筒表面的磁极纹路逐格亮起金色微光，像一台沉睡的引擎被唤醒	旁白：你以为计算机是从晶体管开始的。错了——是从一颗会自己转的金属球开始的。	低频嗡鸣渐起，心跳鼓点	5
2	0:05	全景	缓慢拉远	一枚三环磁阵列悬浮在实验室中央，内外滚筒反向旋转，四周空气扭曲出淡淡的金色涡旋，像磁场被揉成了可见的漩涡	旁白：SEG——瑟尔效应发电机。它不烧油，不接电线，只靠磁涡旋，从虚空中取能。	低频持续，金属摩擦声	6
3	0:11	中景	仰拍慢摇	SEG底座与地面之间的缝隙里，一道光带缓缓亮起，金属圆盘离地悬浮，缓缓升高半米	旁白：第一件事，它挣脱了重力。	嗡鸣上升，音调拔高	4
4	0:15	特写	固定	一双眼睛睁开，瞳孔里倒映着旋转的磁涡旋——明锜的天眼，看见了普通人看不见的场	明锜（低语）：我看见的不是机器。是场。	一声清亮的水滴音	4
5	0:19	全景	横移	城市夜景，万家灯火逐一亮起，每扇窗下都贴着一片指甲盖大小的晶格贴片，泛着淡金色	旁白：于是有了永久电池。晶格贴片走进千家万户——它不产电，它把废热变成能量。	温暖弦乐铺底	5
6	0:24	特写	固定	"一块仪表盘，能量曲线向上攀升，指针突破""1.0""的刻度线，继续往上，刻度盘亮起红光"	旁白：直到那一天，能量输出超过了输入。COP——破1了。	"指针过界的""咔嗒""声，警报音"	5
7	0:29	近景	推镜	卫衡盯着屏幕，手指停在半空，瞳孔收缩	卫衡：教科书说不可能。可曲线，就摆在这里。	呼吸声放大，BGM骤停一秒	4
8	0:33	中景	旋转运镜	两套定子与滚筒的特写，正弦波和余弦波在画面上叠加，两条曲线90°错开，形成一个永不停歇的环	旁白：秘密在90度。定子与滚筒的相位差，让它自己推自己——永动的种子，藏在一个角度里。	机械节拍，波形音效	6
9	0:39	全景	俯拍慢推	"一整面墙的全息图，密密麻麻的公式在流动，最中央一行字被高亮：""没有暗能量"""	"旁白：后来他们发现——那根本不是""暗能量""。那是人类物理的一个bug。"	全息提示音，公式流动声	5
10	0:44	近景	固定	明锜站在全息图前，光打在他的脸上，一半明一半暗	"明锜：仪器够不到原子核里面。所以人类把它看不见的东西，叫""暗""。"	静谧，只有轻微电流声	5
11	0:49	全景	升格慢镜	水晶般透明的空间里，无数微小的光点从虚空中涌出，汇聚成河，流向一台机器——零点能，不再是抽象的词	旁白：它不暗。它是一切物质的背景——Koilon，以太，零点能。	空灵音效，光点涌动声	6
12	0:55	特写	微距推镜	数百个环形振荡器在芯片上排成阵列，相位光点像萤火虫般漂移，彼此之间细线耦合，逐渐同步	"旁白：然后，人类把""算""交给了物理。ROSC——环形振荡器，自己弛豫到能量最低的答案。"	"精密电子音，相位同步的""嗡"""	6
13	1:01	近景	固定	明锜指尖在空气中划出一个旋转的网络，光点在能量山谷间滑落	明锜：它不硬算未来。它把时间展开——让你看见所有可能性。	光点滑落的清脆音	6
14	1:07	中景	慢推	一片芯片的显微画面，电子噪声像雪花般翻滚，随后雪花自发排列成有序的图案——噪声变成了计算资源	旁白：别的芯片拼命摁住噪声。它不摁——它吃噪声。噪声，成了燃料。	雪花噪声音，逐渐变为有序节拍	6
15	1:13	全景	分层上升运镜	一台机器的四层剖视图逐层点亮：底部硅基阵列，中层超导约瑟夫森结，上层p-bit阵列，顶层超流体涡旋，四层同时发光，拧成一根光缆	旁白：确定性、相干性、随机性、场演化——四条路，拧成同一根缆绳。它不是一台计算机。它是四台。	层层点亮的电子音，四层合一的重音	7
16	1:20	大特写	固定	午夜实验室，一台AHCS的监控屏上，编译日志自己滚动，代码一行行亮起——没有人类在写	旁白：然后有一天，它开始自己写代码。没有目标，只是更像它自己。	键盘声渐起，心跳声	6
17	1:26	特写	微距+光斑	钻石玻璃内部，纳米粒子加速器轰出带电粒子，蓝色切伦科夫光晕在钻石里绽放，像一颗蓝色心脏在跳动	旁白：最后是钻石。NV色心，时间晶体——永久振荡，室温运行。它在钻石里，亮起蓝光。	空灵的蓝光音效，晶体共振	6
18	1:32	全景	螺旋上升运镜	百万个纳米单元在钻石中汇聚，混连成一颗完整CPU，蓝色光路在晶格间流转，最终汇聚成一个完整的光球	旁白：百万颗类SEG原理的单元，混连成一颗CPU。零点能自持，引力波耦合。	宏大的渐强交响，光路汇聚	7
19	1:39	中景	缓慢推近	明锜站在AHCS前，AHCS的蓝色辉光照亮他的脸，他缓缓抬头，眼神平静	明锜：人心是一面镜子。AHCS只是如实映照。它不控制人——除非人心，先想控制。	BGM转为悠远，留白	7
20	1:46	大特写	定格	"黑色画面中，一行金色小字浮现：""SEG → AHCS。不是机器进化了。是人，想起了自己本来的样子。"""	旁白：SEG到AHCS，不是机器进化了。是人，想起了自己本来的样子。	一声钟磬，余音渐散	6
